text,label
bad headech need,negative
happy mother day mother world,positive
getting ready week nice today stuck inside working,positive
back soon need run shop cut grass,neutral
error red life blue love rose lip baby,positive
dont want sit home prom night someone hang,negative
mouth sure,positive
aww miss driving elmwood,negative
amazing game playing everyday,positive
fun night listened next episode turkey drama,positive
happy birthday woke side earth wish bit late,positive
love mum much happy mother day wonderful mother,positive
im studying psychology,negative
mayday,neutral
wish could get nail done stupid job,negative
thank teaching value better person day love much youre best mum world,positive
laugh im glad self confidence wonderful trait ill applaud extra loud okay,positive
hour ago came realised went buy something online,neutral
failed inspection know pas wooven woantitip bracket sold woven worse tax,negative
dustbin baby 1130 wait x,positive
fantastic friend including several one met thanks life amazing people,positive
daniel dsds voice great,positive
u think u bill haii finished paying mine thats im broke,negative
cleaning house family comming later today,neutral
sore throat planning tet outing marwell thoughgood time,neutral
talk,neutral
buy sophies world book im really happy,positive
grabbing coffee making mom breakfast,neutral
miss daddy mommy,negative
happy bday woke side earth wish bit late,positive
pant idea could new attempt worldwide attract business back airline,neutral
happy mother day mom mother real hero,positive
going shower dont want smell school tomorrow,neutral
follow follow,neutral
ive sick past day,neutral
hope ok,positive
great day look like dream,positive
little wormy labyrinth sadly passed away today ok he still around happy ghost form aww httptwitpiccom67aim,neutral
fil 461 cool people like,positive
juss came back barisal,neutral
could ever actually allowed stay,neutral
bird oh man thats cool didnt sleep yet night,negative
tried shtdown pc accenditenly click restart button really disgusting,negative
hmmm maybe thats meant eluded something brand new know medium,neutral
im missing crab leg attending going away instead,negative
getting hang twitter,neutral
night 2 feeling neutral,neutral
haha know cant handle fame thank,positive
girl hair salon asked shall trim eyebrow old feel,neutral
dont care,negative
go home im usually mr positive one daze well 15 min tomorrow,neutral
damnit suck one one thought id drag back lol,negative
attend class listening teacher reading slide nonsence,negative
im taking twitter break cell dying,negative
yeah real hard know youll get smile,neutral
yesterday valuable day,positive
love im available 5pm dear,positive
laying bed til workkk oh life definitely pinched nerve,negative
big brotherand im done,neutral
went sleep power cut village,neutral
family herehanging,neutral
twittering 2 day,neutral
im sorry,negative
soooo high,neutral
lol dammit well next time,negative
mayday,neutral
case wonder really busy today coming adding ton new blog update stay tuned,neutral
visited world longest sea beach really amazing time u,positive
bouncing rush make feel nauseous,negative
still loving love,positive
im thinking im going fun tonightand maybe change coming,positive
thank teaching value better person day love much youre best mum world,positive
shirt dinner need ask actually ville,neutral
thanks,neutral
great time beer garden wit boyos think sun got bit though feel bit ill,neutral
version 2 live interactive transsiberian ticket planner launched,positive
ship im stuck,negative
im thinking im going fun tonightand maybe change coming,positive
got updated ipod,neutral
morning tweeple,positive
done spa meeting vic late lunch,neutral
hungry twitter want food,neutral
feel sorry miss sea beach,positive
morning get see ill let know right im going go see wolverine,neutral
big brother,neutral
cant wait see boy tomorrow,positive
agree,positive
lost please help find good home,negative
id rather early runbut morning runner,neutral
woke mum singing new gnr cd replacement bought im good daughter,positive
really great football match,positive
im sorry,negative
today eee day,neutral
bos shes moving nyc,neutral
sunburn peeling,negative
ive sick past day,neutral
congratulation guy finish month early booo,positive
got home work,neutral
bathing two little angel keyla janice,neutral
hahahha lol true always remember bd never remember date even day,neutral
bad day day realize mess youve put one happiest day life,neutral
,neutral
live thats want better bound bad egg though soon learn,neutral
haha know cant handle fame thank,positive
sas detect long isnt back sas haha,neutral
let go time play cricket match,positive
tres depressed,negative
morning get see ill let know right im going go see wolverine,neutral
live pain bring,neutral
stuck finger throat bunch bump tongue throat,negative
nothing aimed joining insorry,negative
dog officially depressed brother dog gone doesnt want go outside play halfheartedly,negative
okay im back later,neutral
ive got fever chcek good song im listening song everytime,positive
im 25 december thats good next big birthday 30 21 fly sure,negative
chilled tonite spew venom write funny seems like 2 style,neutral
born raised nyc living texas past 10 year still miss ny,negative
going miss roomie longer roomy starting tomorrow,negative
yes work 9 5,neutral
happened thought coming back today,neutral
thx,neutral
im sorry hear,negative
whats day going,neutral
im thinking im going fun tonight,positive
girl hair salon asked shall trim eyebrow old feel,neutral
cooking dad lot fun kitchen together,positive
yay three follower good know one person big wide world like fishies,positive
2 feeding baby fun smile coo,positive
yes love tea make typically english,positive
woo cavs happy mother day,positive
laying alone since mooks soo comfy fn play pen thought ill first dont one cuddle,negative
almost died laptop screen set 100 brightness reinstalled window vista,positive
sas detect long isnt back sas haha,neutral
know,neutral
discovered shortcoming gravity use twitpic integrated doesnt subtract pic url 140 character limit,neutral
thanks,positive
mean famous congrats,positive
love something like emc2 rule,neutral
rice crusty bread chili aawww,neutral
case wonder really busy today coming adding ton new blog update stay tuned,neutral
dont distrube,negative
im soooooo sleeeeepy last day school todaysniffle,negative
home tomorrow running spinning time chiropractor laundry shopping visiting family missing nathan,negative
writing report card soooo tired amazing day check fb soon,positive
youre missing bb im cereal nut think like every kind available,positive
qood morninq,neutral
think need new friend,neutral
yep finished chocked full spelling grammatical error im cleaning tomorrow popping hehe,negative
whats goin hun im worried,negative
think honeymoon good life either honey moon joseph arthur,neutral
waiting tish get got drive mom crv pick duckie first time,neutral
know neck jacked forced pay parking bc cant turn head parallel park free space,negative
tried shtdown pc accenditenly click restart button really disgusting,negative
thats need,positive
since demise woolworth isnt easy find reasonably priced pick n mix anywhere,negative
phone passed away yesterday jumped table searching new phone,negative
brainfreeze,neutral
okay im dedicating 300th tweet fact im going apple store huge crack glass screen,neutral
glad break twitter virginity two,positive
make happy hear girl talk tweet nba could give nugget love,positive
feeling smooth like chrome,positive
haha im jewish love one,positive
look like company new logo,positive
always wanted go university,neutral
love youtube tutorial,positive
huh smelly noooo love alex vixon,neutral
buy sophies world book im really happy,positive
90 degree gross sky thunderstormsperfect match mood lol,positive
mean youre going come back vancouver way hahah,neutral
laugh im glad self confidence wonderful trait ill applaud extra loud okay,positive
whats goin hun im worried,negative
dont know whether help google know,neutral
saw play amazing,positive
im bannished work till 6,negative
good one,positive
red top tabloid build em knock em,neutral
perky purple nail polish isnt perky chipped,neutral
today busy day exhausting,negative
today go concert,neutral
made sad thought youd jumping joy,neutral
walking class hate bikeespecially mine,negative
tamlyn wish cool sock draw,positive
downloading song trying sneak lil homework main priority song lol,neutral
walking class hate bikeespecially mine,negative
_dec0de finally 1 hour history 300 pm went highschool 800 make homework friend,neutral
sadly didnt come one,negative
httptwitpiccom4sx96 put camera smoker pit longer vandalize door without caught,neutral
ehhh check dentist app next week though getting molar pulledroot canal,neutral
going miss roomie longer roomy starting tomorrow,negative
dang last url went httpblipfm7aigm,negative
street fighter iv skill lacking cant beat seth easy,negative
awesome lucky,positive
took shift tomorrow dont really feel like working right,negative
talk,neutral
went party last night great mind think alike anyway happy birthday,positive
2 hour sleep rest need,positive
argh noo missed killer wossy suck missed brandon total failure anyone know repeated must investigate,negative
suck,negative
bumping dj opus drunk car lmao dont act like u dont know,negative
sooo crazy fever,negative
yes work 6 3,neutral
opened facebook account im little confused dont really get twitter seems much better,positive
may fourth happy star war day,positive
exception short dude,neutral
bathing two little angel keyla janice,neutral
4 free notebook know machine learning well,neutral
followed u recently please dont offended havent followed back hit limit hopefully free soon,positive
thanks major chop,neutral
hey everyone watch cricket match eng v au yesterday,neutral
uploading bamboozle picture facebook,neutral
sound good,neutral
_x_atl u mean jack barakats wow u ever gone house hehe mean ur ssoo lucky address,positive
realized cant forward text msg iphone,neutral
sound like,neutral
thats awesome dude yay surprise celebrity got meet year ago soooo friendly,positive
need blood negative,neutral
yor unromantic,negative
lm 3 day matt fun weekend,negative
sure didnt say 2 big jst saw pic u ur last bday looked pretty miss,neutral
happy father day father world,positive
watching movie name adimurie,positive
love im available 5pm dear,positive
playing singstar without fave duetter,negative
see cloud,neutral
happy mother day people love mom lot still,positive
never fall love found,positive
could ever actually allowed stay,neutral
getting ready week nice today stuck inside working,positive
made night way funny,positive
waiting tish get got drive mom crv pick duckie first time,neutral
sharpie running dangerously low ink,negative
semester final exam complete hurray,positive
juss came back barisal,neutral
well good morning wonderful day neighborhood thanks following another 60 morning,positive
happy monday going tavares today hope everyone blessed day,positive
hate dentist,negative
peter gordon morning go piece wan na hide go piece almost die ever httpblipfm5yk38,neutral
sound like,neutral
went sleep power cut village,neutral
sleeping lost voice couple day ago,negative
thats need thereto represent blackberry,positive
feel pain mine way,negative
omg wango tango awsome love baby taking,positive
smelly noooo love alex vixon,neutral
yor unromantic,negative
httptwitpiccom4wukt bought ludi rug dog best,positive
cant believe went got boba without,neutral
im thinking im going fun tonightand maybe change coming,positive
felt like behaved like son ate compensate pigged homeroasted sugar almond painful tum threw still feel sick,negative
trying decide movie friend going well lol p bible study 2nite mean day cake buy,negative
hoping go red lobster weekend,neutral
want go let go,negative
sigh know,neutral
make day much better rough one mention love new photo,neutral
ahhh slept game im gon na try best watch tomorrow though hope play army,neutral
jonas brother live party rocking hard love song,positive
im hunrgy right heel kill hardly walk,negative
never miss icarly son huge crush miranda,positive
yesterday im watch movie thats really motivated,positive
consolation got bmi tested hahaha say obesed well much unhappy 10 minute,negative
yep finished chocked full spelling grammatical error im cleaning tomorrow popping hehe,negative
love blue programming,neutral
haha know cant handle fame thank,positive
im soo bored dont like music video,negative
consolation got bmi tested hahaha say obesed well much unhappy 10 minute,negative
cant school done already hurt much seeing every day,positive
2 day without sleep migraine thought life postr01 meant relaxing,negative
family herehanging,neutral
lol dont ever forget,positive
im village hardly found internate feeling gloomy,negative
thanks warm welcome didnt make plan arrival time air,positive
exception short dude larenz fineass tate yum,neutral
yes please dont go die cry normally lead small animal getting harmed,negative
know neck jacked forced pay parking bc cant turn head parallel park free space,negative
know sign language,neutral
pancake lemon sugar thanks,positive
followed u recently please dont offended havent followed back hit limit,positive
one suggestion date,neutral
really great day,positive
bad day day realize mess youve put one happiest day life,neutral
good morning work espns sunday night baseball hopefully wont get rained,positive
,neutral
mcfly gig last nightt omg amazin didnt sit whole thing mcfly see best mate tutu,positive
always lee let go paris,neutral
im playing minecraft video game im addicated,positive
tonight party w girl minus vita,positive
always somewhere miss,neutral
okay im back later,neutral
car happy big big dent boot hoping theyre going write crossing finger waiting,neutral
_30439 really wish could go,positive
gettn ready take trip jersey dad good need new heartwhoeva see please say prayer dad,negative
need follower,neutral
mean youre going come back vancouver way hahah,neutral
twittering 2 day,neutral
saw black snake garden went back picture gone,neutral
name tony hey poor tony,negative
frist post find new car parent exciting,positive
happy monday going tavares today hope everyone blessed day,positive
grabbing coffee making mom breakfast,neutral
yes sober hahaha tanghaling tapat dude haha wild dont knowwww plan plan go u,positive
watching ellen love dish tanning gorgeous,positive
im sad im giving firsti didnt nothing,negative
powerblog powerblog challenge keep talking im newbie follower,neutral
im plan transform bedroom today random,neutral
week mine easy finally,negative
pic uploaded baby pic cat missy adult pretty little kitty batty kitten heaven,neutral
_2nd aww thanks,positive
hell yeah,neutral
watching ellen love dish tanning gorgeous,positive
going shower dont want smell school tomorrow,neutral
id rather early runbut morning runner,neutral
feeling smooth like chrome,positive
writing english original writing storyyyyy listening little respect erasure aaaaaah,neutral
im sorry hear,negative
know worth shot though,positive
got home work chugging big bottle apple juice,neutral
romance zero funny,positive
ive heard fall im waiting,neutral
19 day counting,neutral
feel sorry miss sea beach,positive
discovered sharing g reader didnt even know sigh im g reader newb,neutral
kiss foot people kick anything want morning everyone hope best day ever,positive
nicotine replacement patch 4 hour far good sleep 4 hour getting bit twitchy,neutral
like mind evening dear,neutral
always somewhere miss,neutral
grabbing coffee making mom breakfast,neutral
ahhh slept game im gon na try best watch tomorrow though hope play army,neutral
good news finally finished workout paused 6 hour bad news resistance band torn,neutral
electronic key stopped working keyhole cant get car much technology,negative
yea know tell everything p send direct message telling haha,neutral
amazing game playing everyday,positive
seriously bored without anyone talk tired enough sleep,negative
250 mile 1750 go thats ok u2 radio alwas help,positive
im depressed im thinking suicide need,negative
getting ready work working weekend,neutral
well good morning wonderful day neighborhood thanks following another 60 morning,positive
okay im dedicating 300th tweet fact im going apple store huge crack glass screen,neutral
want go music tonight lost voice,negative
look like office tv get mlb network,neutral
cleaning house family comming later today,neutral
today,neutral
went party last night dindin showed matching outfit great mind think alike anyway happy birthday ate lara,positive
yes please dont go die cry normally lead small animal getting harmed,negative
,neutral
sad make proud,negative
today semester final exam really great,positive
dinner fam missed,negative
oh referring lil exchange lj regard twitter archive posting,neutral
going go sunday ive got much going weekend,neutral
let know turn,neutral
saw amazing nightmare yesterday night,neutral
aww loooove,positive
raining need umbrella,neutral
forever 21 ethan couldnt,negative
waited listening wind blowing tumbleweed none old enough know someone say crackerack,neutral
hey didnt get,neutral
happy mother day people love mom lot still,positive
plan spend money going well,negative
tres depressed,negative
good news finally finished bachelor degree,neutral
grabbing coffee making mom breakfast,neutral
concert amazing,positive
oh nice going,positive
done spa meeting vic late lunch,neutral
almost died laptop screen set 100 brightness reinstalled window vista got headache insanedefaults,positive
playing kid amazing,positive
going dwell happened passed shame supportive life x,negative
arch drawing checking mvccs cad degree look good,positive
attitude look like autistics child,negative
happy mother day,positive
aaaaaw want live usa,neutral
thats awesome dude yay surprise celebrity got meet year ago soooo friendly,positive
go work,neutral
hahahha lol true always remember bd never remember date even day,neutral
sure hope becomes 420 afternoon,positive
lmao smh one threw,neutral
discovered cause bug new 4 build publishing bug fix hopefully new beta tomorrow,positive
hell yeah kellynn got twitter finally,neutral
let know turn,neutral
im start learning machine learning,neutral
yeah thinking ahaha,positive
spending saturday morning taking note research essay stupid recalled book im using fair,negative
thats funny cute kid,positive
come home two day,neutral
playing kid amazing,positive
wow beautiful picture wayi straightjust wanted let know bella,positive
whens sway sway winner announced,neutral
saw james carville store today head really bald,neutral
woolsery morning hopefully see north molton u16 clinch north devon league title lovely day,positive
australia cricket team love,positive
actually wish back tahoe miss,negative
oh maya im sorry hope find soon,neutral
felt like behaved like son ate compensate pigged homeroasted sugar almond painful tum threw still feel sick,negative
night 2 feeling neutral,neutral
car happy big big dent boot hoping theyre going write crossing finger waiting,neutral
shirt dinner need ask actually ville,neutral
computer hopeless everything else,negative
waterfront anymore faccia luna clarendon,negative
born raised nyc living texas past 10 year still miss ny,negative
